"Module Name","Display Name","Driver Type","Link Date"
"storahci","Microsoft Standard SATA AHCI Driver","Kernel ",""
"storflt","Microsoft Hyper-V Storage Accelerator","Kernel ",""
"stornvme","Microsoft Standard NVM Express Driver","Kernel ",""
"storqosflt","Storage QoS Filter Driver","File System ",""
"storufs","Microsoft Universal Flash Storage (UFS) Driver","Kernel ",""
"storvsc","storvsc","Kernel ",""
"storvsp","storvsp","Kernel ",""
"swenum","Software Bus Driver","Kernel ",""
"Tcpip","TCP/IP Protocol Driver","Kernel ",""
"Tcpip6","@todo.dll,-100;Microsoft IPv6 Protocol Driver","Kernel ",""
"tcpipreg","@%SystemRoot%\System32\drivers\tcpipreg.sys,-10110,","Kernel ",""
"tdx","NetIO Legacy TDI Support Driver","Kernel ",""
"terminpt","Microsoft Remote Desktop Input Driver","Kernel ",""
"ThermalFilter","Microsoft Thermal Filter Driver","Kernel ",""
"TPM","TPM","Kernel ",""
"TsUsbFlt","Remote Desktop USB Hub Class Filter Driver","Kernel ",""
"TsUsbGD","Remote Desktop Generic USB Device","Kernel ",""
"tunnel","Microsoft Tunnel Miniport Adapter Driver","Kernel ",""
"UASPStor","USB Attached SCSI (UAS) Driver","Kernel ",""
"UcmCx0101","USB Connector Manager KMDF Class Extension","Kernel ",""
"UcmTcpciCx0101","UCM-TCPCI KMDF Class Extension","Kernel ",""
"UcmUcsiAcpiClient","UCM-UCSI ACPI Client","Kernel ",""
"UcmUcsiCx0101","UCM-UCSI KMDF Class Extension","Kernel ",""
"UCPD","UCPD","File System ",""
"Ucx01000","USB Host Support Library","Kernel ",""
"UdeCx","USB Device Emulation Support Library","Kernel ",""
"udfs","udfs","File System ",""
"UEFI","Microsoft UEFI Driver","Kernel ",""
"Ufx01000","USB Function Class Extension","Kernel ",""
"UfxChipidea","USB Chipidea Controller","Kernel ",""
"ufxsynopsys","USB Synopsys Controller","Kernel ",""
"uiomap","Microsoft UIO Mapper Driver Service","Kernel ",""
"umbus","UMBus Enumerator Driver","Kernel ",""
"UmPass","Microsoft UMPass Driver","Kernel ",""
"UnionFS","UnionFS","File System ",""
"UrsChipidea","Chipidea USB Role-Switch Driver","Kernel ",""
"UrsCx01000","USB Role-Switch Support Library","Kernel ",""
"UrsSynopsys","Synopsys USB Role-Switch Driver","Kernel ",""
"usb-platformdetection","Usb Platform Detection Driver","Kernel ",""
"Usb4DeviceRouter","USB4 Device Router Service","Kernel ",""
"Usb4HostRouter","USB4 Host Router Service","Kernel ",""
"usbaudio","USB Audio Driver (WDM)","Kernel ",""
"usbaudio2","USB Audio 2.0 Service","Kernel ",""
"usbccgp","Microsoft USB Generic Parent Driver","Kernel ",""
"usbcir","eHome Infrared Receiver (USBCIR)","Kernel ",""
"usbehci","Microsoft USB 2.0 Enhanced Host Controller Miniport Driver","Kernel ",""
"usbhub","Microsoft USB Standard Hub Driver","Kernel ",""
"USBHUB3","SuperSpeed Hub","Kernel ",""
"usbohci","Microsoft USB Open Host Controller Miniport Driver","Kernel ",""
"usbprint","Microsoft USB PRINTER Class","Kernel ",""
"usbser","Microsoft USB Serial Driver","Kernel ",""
"USBSTOR","USB Mass Storage Driver","Kernel ",""
"usbuhci","Microsoft USB Universal Host Controller Miniport Driver","Kernel ",""
"usbvideo","USB Video Device (WDM)","Kernel ",""
"USBXHCI","USB xHCI Compliant Host Controller","Kernel ",""
"vdrvroot","Microsoft Virtual Drive Enumerator","Kernel ",""
"VerifierExt","Driver Verifier Extension","Kernel ",""
"VfpExt","Microsoft Azure VFP Switch Filter Extension","Kernel ",""
"vhdmp","vhdmp","Kernel ",""
"vhdparser","vhdparser","Kernel ",""
"vhf","Virtual HID Framework (VHF) Driver","Kernel ",""
"Vid","Vid","Kernel ",""
"VirtualRender","VirtualRender","Kernel ",""
"vmbus","Virtual Machine Bus","Kernel ",""
"VMBusHID","VMBusHID","Kernel ",""
"vmbusproxy","vmbusproxy","Kernel ",""
"vmbusr","Virtual Machine Bus Provider","Kernel ",""
"vmgid","Microsoft Hyper-V Guest Infrastructure Driver","Kernel ",""
"vmsmp","vmsmp","Kernel ",""
"VMSNPXY","VmSwitch NIC Proxy Driver","Kernel ",""
"VMSP","VmSwitch Protocol Driver","Kernel ",""
"VmsProxy","VmSwitch Proxy Driver","Kernel ",""
"VMSVSF","VmSwitch Extensibility Filter","Kernel ",""
"VMSVSP","VmSwitch Extensibility Protocol","Kernel ",""
"VoiceAIDriver","VoiceAIDriver","Kernel ","23-12-2022 06:06:00 AM"
"volmgr","Volume Manager Driver","Kernel ",""
"volmgrx","Dynamic Volume Manager","Kernel ",""
"volsnap","Volume Shadow Copy driver","Kernel ",""
"volume","Volume driver","Kernel ",""
"vpci","Microsoft Hyper-V Virtual PCI Bus","Kernel ",""
"vpcivsp","Microsoft Hyper-V PCI Server","Kernel ",""
"vsmraid","vsmraid","Kernel ","23-04-2014 12:51:41 AM"
"VSTXRAID","VIA StorX Storage RAID Controller Windows Driver","Kernel ","22-01-2013 12:30:28 AM"
"vwifibus","Virtual Wireless Bus Driver","Kernel ",""
"vwififlt","Virtual WiFi Filter Driver","Kernel ",""
"vwifimp","Virtual WiFi Miniport Service","Kernel ",""
"WacomPen","Wacom Serial Pen HID Driver","Kernel ",""
"wanarp","Remote Access IP ARP Driver","Kernel ",""
"wanarpv6","Remote Access IPv6 ARP Driver","Kernel ",""
"wcifs","Windows Container Isolation","File System ",""
"WdBoot","Microsoft Defender Antivirus Boot Driver","Kernel ",""
"Wdf01000","Kernel Mode Driver Frameworks service","Kernel ",""
"WdFilter","Microsoft Defender Antivirus Mini-Filter Driver","File System ",""
"wdiwifi","WDI Driver Framework","Kernel ",""
"WdmCompanionFilter","WdmCompanionFilter","Kernel ",""
"WdNisDrv","Microsoft Defender Antivirus Network Inspection System Driver","Kernel ",""
"WFPLWFS","Microsoft Windows Filtering Platform","Kernel ",""
"Wificx","Wifi Network Adapter Class Extension","Kernel ",""
"WIMMount","WIMMount","File System ",""
"WinAccelCx0101","Microsoft Accelerator Class Extension Driver","Kernel ",""
"WindowsTrustedRT","Windows Trusted Execution Environment Class Extension","Kernel ",""
"WindowsTrustedRTProxy","Microsoft Windows Trusted Runtime Secure Service","Kernel ",""
"wini3ctarget","Generic driver for I3C Target Devices","Kernel ",""
"WinMad","WinMad Service","Kernel ","19-06-2019 06:48:11 PM"
"WinNat","Windows NAT Driver","Kernel ",""
"WINUSB","WinUsb Driver","Kernel ",""
"WinVerbs","WinVerbs Service","Kernel ","19-06-2019 06:48:12 PM"
"WmiAcpi","Microsoft Windows Management Interface for ACPI","Kernel ",""
"Wof","Windows Overlay File System Filter Driver","File System ",""
"WpdUpFltr","WPD Upper Class Filter Driver","Kernel ",""
"ws2ifsl","Winsock IFS Driver","Kernel ",""
"wtd","wtd","Kernel ",""
"WudfPf","User Mode Driver Frameworks Platform Driver","Kernel ",""
"WUDFRd","Windows Driver Foundation - User-mode Driver Framework Reflector","Kernel ",""
"WUDFWpdFs","WPD File System driver","Kernel ",""
"WUDFWpdMtp","WUDFWpdMtp","Kernel ",""
"xboxgip","Xbox Game Input Protocol Driver","Kernel ",""
"xinputhid","XINPUT HID Filter Driver","Kernel ",""
